,Ano,TituloLivro,GeneroLivro,NomeAutor,GeneroAutor,FaixaEtariaAutor,PaisAutor,NomeEditora,SedeEditora,PaisEdicao,Vencedor,Finalista,Semifinalista
5548,2022,Almas II,Poesia,Luis Amorim,Masculino,de 40 a 50 anos,Portugal,Autopublicação,,Portugal,Não,Não,Não
5549,2022,Almas III,Poesia,Luis Amorim,Masculino,de 40 a 50 anos,Portugal,Autopublicação,,Portugal,Não,Não,Não
5550,2022,Almoço de Domingo,Romance,Jose Luis Peixoto,Masculino,de 40 a 50 anos,Portugal,Quetzal,Portugal,Portugal,Não,Não,Não
5551,2022,Altar,Romance,Rafaela Vianna,Feminino,de 20 a 30 anos,Brasil,Cas'a Edições,Brasil,Brasil,Não,Não,Não
5552,2022,âmago,Poesia,Aurea Denise,Feminino,de 60 a 70 anos,Brasil,Negalilu,Brasil,Brasil,Não,Não,Não
5553,2022,Amanhã seremos outros,Conto,Marilia Santos Kruger,Feminino,de 30 a 40 anos,Brasil,Artes & Ecos,Brasil,Brasil,Não,Não,Não
5554,2022,amanhã sonhei que uma peste invadia a casa,Poesia,Daniel Carvalho,Masculino,de 30 a 40 anos,Brasil,Selin Trovoar,Brasil,Brasil,Não,Não,Não
5555,2022,Amanhã vai ser pior,Romance,Marcelo Conde,Masculino,de 40 a 50 anos,Espanha,Patuá,Brasil,Brasil,Não,Não,Não
5556,2022,Amar Além das Estrelas,Romance,Mira Clock,Feminino,de 30 a 40 anos,Angola,Acácias,Angola,Angola,Não,Não,Não
5557,2022,Amar antes que amanheça,Conto,Cristiane Sobral,Feminino,de 40 a 50 anos,Brasil,Malê,Brasil,Brasil,Não,Não,Não
5558,2022,Amazonidades: gesta das águas,Poesia,Marta Cortezao,Feminino,de 40 a 50 anos,Espanha,Penalux,Brasil,Brasil,Não,Não,Não
5559,2022,Ambiguidades,Conto,Adriana Vieira Lomar,Feminino,de 50 a 60 anos,Brasil,Penalux,Brasil,Brasil,Não,Não,Não
